id,timestamp,email,fullname,firstname,surname,friends,teachers
23,1:10:42 AM,holden.cloe@madisonps.org,Cloe Holden,Cloe,Holden,Gaven Costa|Mariah Gilmore,Mr. Costa|Mr. Gentry|Mr. Caldwell|Mr. Graham
24,5:03:56 AM,edwards.rosemary@madisonps.org,Rosemary Edwards,Rosemary,Edwards,Nathaly Dean|Grayson Floyd|Joselyn Good|Libby Sawyer|Alyssa Armstrong,Mr. Merritt|Mrs. Gutierrez|Mrs. Hunt
25,5:53:59 PM,santana.dillon@madisonps.org,Dillon Santana,Dillon,Santana,Charlee Carney|Stephanie Sanchez|Dayami Gray|Marco Fry|Garrett Chavez,Mrs. Braun|Mrs. Wade|Mrs. Conley
26,2:33:01 AM,marks.hector@madisonps.org,Hector Marks,Hector,Marks,Tara Richmond|Clayton Trevino|Tanya Little,Mr. Montoya|Mrs. Costa|Mr. King|Mr. Webb
27,12:41:48 AM,hayes.joyce@madisonps.org,Joyce Hayes,Joyce,Hayes,Allen Durham|Lindsay Levine|Wesley Lozano|Mireya Webb,Mrs. Mosley|Mrs. Chang|Mrs. Rollins
28,4:52:24 AM,knapp.jaydon@madisonps.org,Jaydon Knapp,Jaydon,Knapp,Calvin Garrison|Danna Ayers|Joaquin Adams|Mattie Gallegos|Amelie Kent,Mrs. Costa|Mrs. Hahn|Mr. Gillespie|Mrs. Blackburn|Mr. Edwards
29,10:28:27 AM,waller.luis@madisonps.org,Luis Waller,Luis,Waller,Owen Beard|Daniela Jimenez|Jayleen Vincent|Brycen Golden|Mercedes Dominguez,Mr. Costa|Mrs. Maddox|Mr. Braun|Mr. Mcguire|Mrs. Walton
30,1:03:29 AM,castillo.alonzo@madisonps.org,Alonzo Castillo,Alonzo,Castillo,Nickolas Mays|Elise Herring|Yadira Hodge|Edgar Kelly|Kiersten Joseph,Mr. Campbell|Mr. Huffman|Mrs. Chavez|Mr. Lucero|Mr. Schaefer
31,4:16:11 AM,sexton.tatiana@madisonps.org,Tatiana Sexton,Tatiana,Sexton,Kristian Frey|Salvatore Sloan|Elise Herring|Faith Torres|Tiana Weiss,Mr. Miles
32,9:38:13 PM,cannon.brennen@madisonps.org,Brennen Cannon,Brennen,Cannon,Pierce Pittman,Mr. Livingston|Mrs. Lam
33,9:44:26 AM,cameron.raina@madisonps.org,Raina Cameron,Raina,Cameron,Dallas Best|Xzavier Booker,Mrs. Strong|Mrs. Bentley|Mr. Mcfarland|Mr. Mcfarland|Mrs. Gutierrez
34,8:24:27 AM,hughes.dylan@madisonps.org,Dylan Hughes,Dylan,Hughes,Caleb Singleton|Evangeline Walsh|Miley Merritt|Avah Harding|Carmelo Bernard,Mr. Dalton|Mrs. Savage|Mrs. Schaefer
35,5:56:56 PM,hensley.dalia@madisonps.org,Dalia Hensley,Dalia,Hensley,Maurice Solomon|Myles Estes|Mireya Webb|Noelle Phillips|Maxim Davenport,Mr. Huffman|Mrs. Parsons|Mrs. Bentley|Mr. Vasquez
36,4:31:12 PM,rangel.milton@madisonps.org,Milton Rangel,Milton,Rangel,Roman Shepard|Gabriella Cook|Karissa Wheeler,Mr. Cook|Mrs. Rollins|Mrs. Wall
37,8:19:10 PM,harmon.hamza@madisonps.org,Hamza Harmon,Hamza,Harmon,Dalia Hensley|Brennen Cannon|Jayvon Salazar|Kaydence Fernandez,Mr. Thompson|Mrs. Francis|Mrs. Schaefer
38,6:51:56 AM,salazar.christian@madisonps.org,Christian Salazar,Christian,Salazar,Nathanial Gilbert|Jason Lin|Tommy Cabrera|Hayley Mathis|Raelynn Dennis,Mrs. Hammond|Mrs. Walton|Mrs. Wade|Mr. Collins
39,6:25:48 AM,orr.sara@madisonps.org,Sara Orr,Sara,Orr,Matias Herrera|Keyon Chen|Braedon Madden|Zion Hess|Meadow Bell,Mrs. Chang|Mr. Gentry|Mrs. Conley
40,8:13:55 AM,andrade.jaydon@madisonps.org,Jaydon Andrade,Jaydon,Andrade,Averi Barr|Deshawn Gillespie|Matias Herrera|Daniela Jimenez|Aaliyah Burns,Mrs. Chandler|Mr. Roberts|Mr. Mcguire|Mr. Gonzales|Mr. Mcfarland
41,10:16:02 AM,bentley.princess@madisonps.org,Princess Bentley,Princess,Bentley,Kaylee Vincent|Kiersten Joseph|Yadiel Roberson|Jacoby Pope|Stephanie Sanchez,Mr. Dorsey|Mrs. Lawson|Mr. Gentry|Mr. Graham|Mrs. Nixon
42,11:47:10 PM,santana.noelle@madisonps.org,Noelle Santana,Noelle,Santana,Vance Mccarthy,Mrs. Blackburn|Mr. Kemp|Mrs. Holt|Mrs. Lam|Mr. Lucero
43,4:19:18 AM,wells.kylan@madisonps.org,Kylan Wells,Kylan,Wells,Kenna Landry|Tristan Duncan,Mrs. Solomon
44,4:00:24 PM,carr.johan@madisonps.org,Johan Carr,Johan,Carr,Danica Hansen|Kaydence Fernandez|Casey Hernandez|Sofia Rodriguez|Ryan Barton,Mrs. Wade|Mrs. Francis
45,1:52:07 AM,contreras.jorge@madisonps.org,Jorge Contreras,Jorge,Contreras,Savanna Chang|Bailey Russell|Maximo Hogan|Jason Lin|Oscar Olson,Mrs. Costa|Mrs. Chandler|Mrs. Velez|Mr. Lowe|Mr. Lowe
46,7:39:04 AM,beltran.ronald@madisonps.org,Ronald Beltran,Ronald,Beltran,Ross Oliver|Harper Olsen|Jameson Beasley,Mrs. Hammond|Mrs. Costa|Mrs. Gutierrez
47,11:40:08 PM,singleton.caleb@madisonps.org,Caleb Singleton,Caleb,Singleton,Jadiel Kennedy|Morgan Rangel|Raelynn Dennis|Areli Lang,Mr. Reed|Mrs. Pugh|Mrs. Francis|Mr. Caldwell
48,10:20:21 PM,choi.billy@madisonps.org,Billy Choi,Billy,Choi,Kaylen Bush|Beckham Morales|Talia Ingram|Magdalena Yang|Willow Cordova,Mrs. Chang|Mrs. Rollins|Mr. Lucero
49,5:53:09 AM,hart.jalen@madisonps.org,Jalen Hart,Jalen,Hart,Justin Jacobs|Salvador Schaefer|Mohamed Mack|Matthias Cline|Ava Sullivan,Mrs. Costa|Mr. Dorsey|Mr. Gillespie
50,12:05:13 AM,hawkins.vicente@madisonps.org,Vicente Hawkins,Vicente,Hawkins,Elle Lindsey|Ulises Mullen|Matilda Hickman|Jessica Frank|Kody Davenport,Mrs. Chandler|Mrs. Holt|Mr. Webb|Mr. Huffman
51,7:27:26 PM,mathews.kai@madisonps.org,Kai Mathews,Kai,Mathews,Tatiana Sexton|Miah Vincent|Gabriella Cook|Kody Davenport|Marcos Mills,Mrs. Kane|Mrs. Blackburn|Mrs. Wall
52,1:24:53 PM,miller.elise@madisonps.org,Elise Miller,Elise,Miller,Grayson Floyd,Mr. Figueroa|Mr. Huffman|Mr. Costa|Mr. Roberts|Mr. Lowe
53,3:13:25 PM,bell.princess@madisonps.org,Princess Bell,Princess,Bell,Charlie Glenn|Vance Sloan,Mrs. Savage|Mr. Marshall|Mr. Dalton|Mr. Willis|Mr. Patrick
54,6:17:17 PM,brandt.darius@madisonps.org,Darius Brandt,Darius,Brandt,Amiah Berger|Dereon Barrera|Casey Hernandez|Magdalena Yang|Marley Johnston,Mr. Suarez|Mrs. Luna|Mrs. Chavez|Mr. Collins|Mr. Montoya
55,2:41:25 PM,levine.lindsay@madisonps.org,Lindsay Levine,Lindsay,Levine,Leonard Campbell|Lydia Hutchinson|Taylor Mccullough|Makaila Clay|Halle Green,Mrs. Marquez
56,9:52:30 AM,mahoney.emilie@madisonps.org,Emilie Mahoney,Emilie,Mahoney,Aedan Mercer|Cannon Lee|Fabian Taylor,Mr. Huffman|Mrs. Drake
57,6:29:18 PM,johnston.marley@madisonps.org,Marley Johnston,Marley,Johnston,Edgar Valenzuela|Erik Hanson|Sofia Rodriguez|Jayvon Salazar,Mr. Floyd|Mrs. Parsons|Mr. King|Mr. Terrell|Mr. Marshall
58,6:21:47 PM,johns.harley@madisonps.org,Harley Johns,Harley,Johns,Bradyn Meyers|Yasmin Hodge|Fernanda Tucker|Ainsley Marsh|Zackery Galloway,Mrs. Holt|Mr. Vasquez|Mrs. Maddox
59,12:58:11 PM,stone.keon@madisonps.org,Keon Stone,Keon,Stone,Dax Ross|Davion Garrett|Jason Benitez|Yadiel Roberson|Kimberly Hatfield,Mr. Suarez|Mrs. Sanchez|Mr. Mcguire|Mrs. Sanchez
60,10:11:25 PM,mack.keagan@madisonps.org,Keagan Mack,Keagan,Mack,Gideon Patrick|Thalia Hunt|Killian Hunt|Princess Bell|Josh Trujillo,Mr. Terrell|Mr. Floyd|Mr. Schaefer
61,5:33:30 PM,green.halle@madisonps.org,Halle Green,Halle,Green,Noe Riddle|Raina Noble|Damari Chung|Stanley Zavala|Iris West,Mr. Graham|Mrs. Marquez|Mrs. Savage
62,8:07:12 PM,shelton.leonel@madisonps.org,Leonel Shelton,Leonel,Shelton,Kamila Contreras,Mrs. Blackburn|Mr. Costa|Mr. Floyd|Mrs. Schaefer
63,4:02:51 PM,parsons.baylee@madisonps.org,Baylee Parsons,Baylee,Parsons,Amare Norris|Tyler Browning,Mrs. Wade|Mr. Carey|Mrs. Savage
64,1:58:48 PM,mason.gilbert@madisonps.org,Gilbert Mason,Gilbert,Mason,Isabelle Cordova|Roderick Decker|Mark Dudley|Yahir Hahn|Paisley Booker,Mrs. Braun|Mr. Terrell|Mrs. Lucas|Mrs. Kane|Mrs. Braun
65,5:14:40 AM,stuart.eva@madisonps.org,Eva Stuart,Eva,Stuart,Grayson Floyd|Dayami Bernard|Malik Pham|Anastasia Turner|Kathy Levy,Mrs. Wall|Mr. Huffman|Mr. Miles|Mr. Terrell|Mrs. Holt
66,2:47:27 AM,noble.raina@madisonps.org,Raina Noble,Raina,Noble,Catalina Wood|Marcel Pacheco|Deshawn Gillespie,Mrs. Pollard|Mrs. Walton|Mr. Farmer|Mr. Costa|Mr. Terrell
67,8:23:37 AM,warren.tristen@madisonps.org,Tristen Warren,Tristen,Warren,Nathan Wright|Camille Bond|Raphael Pacheco|Adalyn Steele,Mr. Kemp
68,8:32:15 AM,stewart.elsa@madisonps.org,Elsa Stewart,Elsa,Stewart,Damarion Craig|Lana Velazquez|Deja Krueger|Raegan Rush|Giovanny Hill,Mrs. Holt|Mr. Mcfarland
69,5:46:57 PM,schmitt.lisa@madisonps.org,Lisa Schmitt,Lisa,Schmitt,Dania Benson|Zayden Oconnell|Ahmad Meza|Marie Shannon|Zara Jarvis,Mrs. Luna|Mrs. Hunt|Mr. Caldwell|Mrs. Parsons|Mr. Marshall
70,11:21:52 PM,hall.allie@madisonps.org,Allie Hall,Allie,Hall,Jada Walls|Shirley Haas|Cortez Savage|Lyla Martinez|Amiah Berger,Mrs. Hickman|Mr. Gillespie|Mrs. Chavez
71,10:52:14 AM,rangel.morgan@madisonps.org,Morgan Rangel,Morgan,Rangel,Nathanael Patrick|Raegan Rush|Joslyn Mathews|Eleanor Hahn|Damari Chung,Mrs. Chandler|Mrs. Hunt|Mrs. Oliver|Mr. Mcguire
72,9:26:22 PM,horn.macey@madisonps.org,Macey Horn,Macey,Horn,Maren Harmon,Mr. Braun|Mrs. Solomon|Mrs. Nixon
73,12:00:57 PM,blake.salma@madisonps.org,Salma Blake,Salma,Blake,Clara Vasquez|Ireland Fitzgerald,Mrs. Flynn|Mrs. Walton|Mr. Gibson
74,6:43:53 AM,hull.anika@madisonps.org,Anika Hull,Anika,Hull,Ricardo Sawyer|Maximus Mckay|Shamar Fields|Liana Bullock|Clarissa Sanchez,Mr. Gentry|Mr. Huffman|Mrs. Wade|Mr. Hester
75,11:53:25 PM,harrington.ray@madisonps.org,Ray Harrington,Ray,Harrington,Leonard Campbell|Nathaly Dean|Marcel Pacheco|Danna Ayers|Roger Giles,Mrs. Nixon|Mrs. Rollins|Mrs. Mcmillan
76,1:33:00 PM,fields.shamar@madisonps.org,Shamar Fields,Shamar,Fields,Damion Stone|George Poole|Leonel Garrett,Mr. Gentry|Mr. Vazquez|Mrs. Maddox|Mrs. Flynn|Mrs. Walton
77,6:19:51 PM,zhang.autumn@madisonps.org,Autumn Zhang,Autumn,Zhang,Kimberly Hatfield|Keyla Hopkins|Tara Richmond|Hector Marks,Mr. Costa|Mrs. Mosley|Mrs. Velez|Mr. Miles|Mr. Campbell
78,2:22:18 PM,arias.jaiden@madisonps.org,Jaiden Arias,Jaiden,Arias,Muhammad Adams|Amelie Griffin|Jaylynn Ponce|Erik Hanson|Pedro Harris,Mrs. Braun|Mr. Mcfarland|Mr. Edwards|Mrs. Mcmillan|Mrs. Savage
79,3:13:03 PM,henry.devin@madisonps.org,Devin Henry,Devin,Henry,Gilbert Mason|Jerimiah Newton|Zander Roman|Tiana Weiss|Jayla Martinez,Mr. Frazier
80,6:46:06 PM,andrews.donna@madisonps.org,Donna Andrews,Donna,Andrews,Haiden Mahoney|Mercedes Dominguez|Brooks Caldwell|Kassidy Levy|Tomas Chapman,Mrs. Francis|Mrs. Hahn
81,1:02:59 AM,best.dallas@madisonps.org,Dallas Best,Dallas,Best,Kathleen Rice|Tatiana Sexton|Anika Rojas|Yadira Hodge|Shamar Fields,Mr. Roberts|Mrs. Holt|Mrs. Lam|Mr. Mcguire|Mr. Cabrera
82,8:20:11 PM,bray.jorden@madisonps.org,Jorden Bray,Jorden,Bray,Elaina Bennett,Mr. Rose|Mrs. Wood|Mrs. Wall
83,4:21:08 AM,mcknight.gia@madisonps.org,Gia Mcknight,Gia,Mcknight,Alena Christian|Bryson Thornton,Mr. Morrow|Mrs. Wade|Mrs. Oliver|Mr. Cook
84,3:10:10 PM,barnes.salma@madisonps.org,Salma Barnes,Salma,Barnes,Marley Wiley|Baylee Parsons|Tianna Underwood|Billy Bauer|Monique Schwartz,Mrs. Mosley|Mr. Gibson|Mrs. Reid
85,11:15:57 AM,elliott.dominique@madisonps.org,Dominique Elliott,Dominique,Elliott,Moses Lambert|Amelie Griffin|Jessie Flynn|Brooks Caldwell|Ada Gaines,Mrs. Savage|Mrs. Drake|Mrs. Holt
86,9:19:34 PM,austin.angela@madisonps.org,Angela Austin,Angela,Austin,Evangeline Walsh|Dalton Chandler|Ayden Woodward,Mrs. Solomon|Mr. Braun|Mr. Kemp|Mr. Merritt
87,4:30:36 AM,richmond.tara@madisonps.org,Tara Richmond,Tara,Richmond,Liberty Hardin|Jaydan Alvarez|Rihanna Pacheco|Jade Moses,Mrs. Drake|Mr. Campbell|Mr. Vazquez
88,1:57:59 PM,houston.kevin@madisonps.org,Kevin Houston,Kevin,Houston,Amber Ford|Jaylynn Ponce|Aracely Branch|Karissa Wheeler|Eden Hart,Mr. Farmer|Mrs. Walton|Mrs. Walton|Mrs. Lam|Mrs. Blackburn
89,6:43:50 PM,lang.areli@madisonps.org,Areli Lang,Areli,Lang,Roman Shepard|Magdalena Yang|Marely Fuentes|Marlie Garza|Pierce Lynch,Mrs. Marquez|Mrs. Maddox|Mr. Patrick|Mrs. Lawson|Mrs. Hahn
90,1:48:05 AM,blake.izabelle@madisonps.org,Izabelle Blake,Izabelle,Blake,Albert Key|Jenny Decker|Yareli Irwin|Jocelynn Gentry|Katelyn Benton,Mrs. Savage|Mr. Young|Mrs. Chang|Mrs. Nixon|Mrs. Chang
91,2:14:40 AM,kaufman.preston@madisonps.org,Preston Kaufman,Preston,Kaufman,Jolie Mata|Aaliyah Burns|Leonidas Tyler|Keyla Hopkins|Myles Estes,Mr. Roberts
92,10:17:46 PM,hurley.annalise@madisonps.org,Annalise Hurley,Annalise,Hurley,Zara Jarvis,Mr. Braun|Mrs. Pollard
93,10:50:49 PM,fuentes.marely@madisonps.org,Marely Fuentes,Marely,Fuentes,Frances Berry|Jalen Ortega,Mr. Graham|Mr. Costa|Mr. Dorsey|Mrs. Oliver|Mrs. Chang
94,11:06:01 AM,torres.faith@madisonps.org,Faith Torres,Faith,Torres,Billy Bauer|Lana Velazquez|Samara Schmitt|Magdalena Yang|Talia Ingram,Mrs. Parsons|Mrs. Wall|Mrs. Hahn
95,8:00:38 PM,proctor.kristian@madisonps.org,Kristian Proctor,Kristian,Proctor,Liana Frederick|Sophia Brewer|Kamora Perez|Ciara Morales|Mckinley Blair,Mr. Lucero|Mr. Dalton|Mrs. Braun|Mrs. Velez
96,3:49:18 AM,montgomery.maren@madisonps.org,Maren Montgomery,Maren,Montgomery,Jolie Mata|Hamza Harmon|Jovani Arellano,Mr. King|Mrs. Schaefer|Mrs. Wade
97,8:25:21 PM,irwin.yareli@madisonps.org,Yareli Irwin,Yareli,Irwin,Yamilet Collins|Amaya Cuevas|Chasity Shea|Serena Mullins,Mrs. Costa|Mr. Farmer|Mr. Gonzales
98,1:34:24 PM,flynn.jessie@madisonps.org,Jessie Flynn,Jessie,Flynn,Matilda Hickman|Macey Horn|Rosemary Edwards|Nicolas David|Tyler Browning,Mrs. Harvey|Mr. Rose|Mr. Webb|Mr. Marshall
99,4:22:17 PM,gaines.giada@madisonps.org,Giada Gaines,Giada,Gaines,Shania Ware|Madeleine Benson|Juan Parsons|June Lopez|Camryn Ali,Mrs. Oliver|Mr. Marshall|Mr. Thompson
100,9:52:04 PM,davenport.maxim@madisonps.org,Maxim Davenport,Maxim,Davenport,Maggie Nash|Juliet Chaney|Gaven Costa|Hamza Harmon|Nasir Warren,Mr. Hester|Mr. Vazquez|Mr. Roberts|Mr. Lucero|Mr. Huffman
101,10:49:50 PM,cunningham.amirah@madisonps.org,Amirah Cunningham,Amirah,Cunningham,Cole Wells|Brooks Caldwell|Jaiden Arias|Linda Hensley|Danika Gray,Mr. Merritt|Mrs. Ferrell|Mr. Livingston|Mr. Edwards|Mrs. Wall
102,10:20:52 PM,strong.rosemary@madisonps.org,Rosemary Strong,Rosemary,Strong,Tamia Romero,Mrs. Schaefer|Mrs. Holt|Mrs. Solomon|Mr. Carey|Mr. Braun
103,11:14:45 AM,owens.lucia@madisonps.org,Lucia Owens,Lucia,Owens,Brooks Ford|Aiyana Gordon,Mrs. Harvey
104,1:25:50 AM,schaefer.salvador@madisonps.org,Salvador Schaefer,Salvador,Schaefer,Dayana Rodriguez|Areli Lang|Crystal Grant|Zayden Oconnell|Ally Hawkins,Mrs. Mcmillan|Mr. Lucero
105,10:54:36 AM,schmitt.samara@madisonps.org,Samara Schmitt,Samara,Schmitt,Tatum Gentry|Gloria Nunez|Alaina Rogers|Brooks Caldwell|Tanya Finley,Mrs. Lam|Mr. Young|Mr. Campbell|Mr. Morrow|Mr. Figueroa
106,4:13:54 PM,washington.cortez@madisonps.org,Cortez Washington,Cortez,Washington,Killian Hunt|Mekhi Dunn|Cory Silva,Mr. Willis|Mrs. Bentley|Mr. Marshall
107,12:34:25 PM,harmon.maren@madisonps.org,Maren Harmon,Maren,Harmon,Shaun Knight|Leonel Blackburn|Brooks Caldwell|Liana Frederick,Mr. Campbell|Mr. Floyd|Mrs. Lam|Mr. Carey
108,10:55:19 PM,roy.carolyn@madisonps.org,Carolyn Roy,Carolyn,Roy,Ross Oliver|Kassidy Levy|Ciara Wyatt|Xzavier Booker|Lamar Murillo,Mr. Gibson|Mrs. Marquez|Mrs. Lucas
109,12:51:38 PM,thornton.jamie@madisonps.org,Jamie Thornton,Jamie,Thornton,Rubi Lara|Noelle Archer|Rubi Lara|Savannah Spencer|Joyce Hayes,Mr. Braun|Mr. Lucero|Mrs. Holt
110,8:46:30 AM,espinoza.carleigh@madisonps.org,Carleigh Espinoza,Carleigh,Espinoza,Royce Haney|Izaiah Barry|Mariam Cohen|Giada Gaines|Alaina Rogers,Mrs. Braun|Mrs. Rollins|Mr. Mcguire|Mrs. Hahn
111,11:45:18 PM,lee.atticus@madisonps.org,Atticus Lee,Atticus,Lee,Tiana Weiss|Jadiel Kennedy|Ciara Morales|Dayana Rodriguez|Malakai Ochoa,Mr. Richmond|Mr. Lucero|Mrs. Francis
112,5:54:05 PM,petersen.tess@madisonps.org,Tess Petersen,Tess,Petersen,Jillian Armstrong,Mrs. Ferrell|Mr. Cook|Mrs. Huynh|Mr. Lowe|Mrs. Luna
113,5:49:21 PM,tapia.monserrat@madisonps.org,Monserrat Tapia,Monserrat,Tapia,Nathanial Gilbert|Bentley Morrow,Mrs. Harvey|Mr. Cabrera|Mrs. Oliver|Mr. Merritt|Mr. Patrick
114,8:53:07 AM,mckay.easton@madisonps.org,Easton Mckay,Easton,Mckay,Braelyn Melton|Juliana Thornton|Maximus Mckay|Nayeli Vang|Fletcher Hanna,Mrs. Holt|Mrs. Velez|Mr. Dalton|Mr. King|Mr. Gonzales
115,6:52:32 AM,summers.grayson@madisonps.org,Grayson Summers,Grayson,Summers,Terry Mcclain|Jeffery Goodman|Madilyn Bernard|Tristan Duncan|Carleigh Espinoza,Mrs. Drake
116,12:20:04 AM,ware.alejandra@madisonps.org,Alejandra Ware,Alejandra,Ware,Peter Shea|Allie Hall|Rosemary Strong,Mrs. Velez|Mr. Dorsey
117,10:44:24 PM,ingram.talia@madisonps.org,Talia Ingram,Talia,Ingram,Hector Marks|Briley Robinson|Tamia Nunez|Oscar Olson,Mr. Patrick|Mrs. Braun|Mr. Miles|Mr. Willis|Mr. Vasquez
118,11:42:21 PM,nunez.tamia@madisonps.org,Tamia Nunez,Tamia,Nunez,Melody Marsh|Sierra Paul|Nathan Wright|Keyla Hopkins|Cohen Benton,Mr. Lucero|Mr. Cook|Mr. Thompson
119,2:33:39 PM,velasquez.esperanza@madisonps.org,Esperanza Velasquez,Esperanza,Velasquez,Mia Navarro|Isaiah Herman|Leonel Shelton|Nylah York|Jaidyn Nolan,Mrs. Wade|Mr. Dalton|Mrs. Lawson|Mr. Marshall
120,11:56:14 AM,mccall.marlie@madisonps.org,Marlie Mccall,Marlie,Mccall,Winston Vasquez|Jadyn Gardner|Nicolas Huff|Jalen Hart|Milton Rangel,Mr. Kemp|Mr. Cook|Mrs. Mosley
121,2:05:47 AM,bernard.madilyn@madisonps.org,Madilyn Bernard,Madilyn,Bernard,Addison Logan|Maurice Solomon|Reina Moses|Winston Vasquez|Zaiden Chang,Mrs. Wall|Mr. Lowe|Mrs. Pugh
122,9:09:43 PM,booth.nicolas@madisonps.org,Nicolas Booth,Nicolas,Booth,Brycen Golden,Mr. Montoya|Mrs. Savage|Mrs. Wood|Mr. Marshall
123,9:27:38 PM,schaefer.mya@madisonps.org,Mya Schaefer,Mya,Schaefer,Ezequiel Walls|Pedro Harris,Mr. Gonzales|Mrs. Wade|Mr. Merritt
124,2:34:24 AM,gillespie.wade@madisonps.org,Wade Gillespie,Wade,Gillespie,Ronald Beltran|Amare Norris|Saige Hansen|Malik Pham|Lydia Hutchinson,Mrs. Lam|Mr. Marshall|Mrs. Lawson|Mr. Gentry|Mr. Kemp
125,12:33:04 AM,frey.paula@madisonps.org,Paula Frey,Paula,Frey,Andre Gilbert|Jacey Bryant|Braelyn Melton|Santos Kaufman|Evie Thornton,Mr. Kemp|Mr. Terrell|Mr. Vasquez|Mr. Frazier|Mrs. Schaefer
